Material,"Density
","Melting Point
","Boiling Point
",Material,"Electric Resistivity
",Material,"Thermal Expansion Coefficient
","Thermal Conductivity
",Material,"Tensile Strength
","Elongation
",Material,Specific Heat (J/kgoC),Material,Boiling Points at Atmospheric Pressure,Material,Radiation Constant ,Material,"Thermal Conductivity 
- k - W/",Material,Crushing Weight ,Shearing Strength ,"Strength
",Material,Ksp,Material,Density,Material
Monel ,8.84,1330,-,,,Platinum,-,71.6,Stone,70 - 280,-,Boron,960,Camphor,204,,,Bitumen/felt layers,0.5,,,,,Cadmium iodate,2.5*10-8,"Asbestos, solid",2.45,
Nickel,8.89,1455,2913,,,Rubber,130 - 200,-,Stone,20 - 200,-,Boron nitride,720,Carbolic acid ,182.2,,,Beef,0.43 - 0.48,,,,,Cadmium oxalate trihydrate,1.42*10-8,Ashes,0.65,
Nylon,1.1,-,-,,,Silicon,-,148,Stone,50 - 180,-,Brass,375,Carbon Bisulfide,47.8,,,Benzene,0.16,,,,,Cadmium phosphate,2.53*10-33,"Asphalt, compacted",2.36,
Platinum,21.4,1768,3825,,,Silver,-,429,Titanium,500,25,Brick,840,Carbon Dioxide CO2 ,-78.5,,,Beryllium,218,,,,,Calcium carbonate ,3.36*10-9,"Asphalt, crushed",0.72,
Rubber,0.96 - 1.3,-,-,,,Solder,-,30.0 - 49.8,Titanium Alloy,900 - 970,10,Bronze,370,Carbon Disulfide CS2,46.2,,,Bismuth,8.1,,,,,Calcium carbonate ,6.0*10-9,Bakelite,1.36,
Silicon,2.33,1382,-,,,Steel,10.0 - 18.0,-,Tungsten,1400 - 4000,0 - 4,Brown iron ore,670,Carbon Monoxide,-192,,,Bitumen,0.17,,,,,Calcium fluoride,3.45*10-11,Baking powder,0.72,
Silver,10.49,961.8,2162,,,Tin,-,66.6,Wood,50 - 100,-,Cadmium,234,Carbon Tetrachloride CCl4,76.7,,,Blast furnace gas ,0.02,,,,,Calcium hydroxide,5.02*10-6,Balsa Wood,0.13,
Solder,8.17 - 11.34,215,-,,,Titanium,-,21.9,Wood,50 - 80,-,Calcium,532,Chlorine,-34.4,,,Boiler scale,1.2 - 3.5,,,,,Calcium iodate,6.47*10-6,"Barite, crushed",2.89,
Steel,7.85,1425,-,,,Titanium Alloy,8.00 - 10.0,-,Wood,50 - 100,-,Calsium silicate,710,Chloroform,62.2,,,Brass,109,,,,,Calcium iodate hexahydrate,7.10 *10-7,Barium,3.78,
Stone,2.6,-,-,,,Tungsten,4.3,174,Wood,50 - 100,-,Cellulose,1300 - 1500,Cyclohexane,80.7,,,Breeze block,0.10 - 0.20,,,,,Calcium molybdate,1.46*10-8,"Bark, wood refuse",0.24,
Stone,2 - 2.9,-,-,,,Zinc,30.2,116,,,,Cellulose acetate,1260 - 1800,Cyclopentane,49.3,,,Brick dense,1.31,,,,,Calcium oxalate monohydrate,2.32*10-9,Barytes,4.5,
Stone,2.6 - 2.9,-,-,,,,,,,,,Cellulose acetate,1260 - 2100,n - Decane,174,,,Brick,0.47,,,,,Calcium phosphate,2.07*10-33,Basalt,2.4 - 3.1,
Stone,2.6,-,-,,,,,,,,,Cellulose nitrate,1300 - 1700,Dichloromethane - see methylene chloride,,,,Brick,0.15,,,,,Calcium sulfate,4.93*10-5,"Bauxite, crushed",1.28,
