Material,"Density
","Melting Point
","Boiling Point
",Material,"Electric Resistivity
",Material,"Thermal Expansion Coefficient
","Thermal Conductivity
",Material,"Tensile Strength
","Elongation
",Material,Specific Heat (J/kgoC),Material,Boiling Points at Atmospheric Pressure,Material,Radiation Constant ,Material,"Thermal Conductivity 
- k - W/",Material,Crushing Weight ,Shearing Strength ,"Strength
",Material,Ksp,Material,Density,Material
Terbium,,1360,,,,,,,,,,Silicon,705,,,,,Iron,59,,,,,Strontium carbonate,5.60*10-10,Iodine,4.95,
Thallium,,303.5,,,,,,,,,,silicon carbide,670,,,,,Iron,55,,,,,Strontium fluoride,4.33*10-9,Iridium,22.5,
Thorium,,1750,,,,,,,,,,Silver,235,,,,,Iron-oxide,0.58,,,,,Strontium iodate,1.14*10-7,Ivory,1.8 - 1.9,
Thulium,,1545,,,,,,,,,,Slate,760,,,,,Kapok insulation,0.034,,,,,Strontium iodate hexahydrate,4.55*10-7,Lead,11.35,
Tin,,231.9681,,,,,,,,,,Sodium,1260,,,,,Kerosene,0.15,,,,,Strontium iodate monohydrate,3.77*10-7,"Leather, dry",0.86,
Titanium,,1660,,,,,,,,,,Soil,800,,,,,Krypton ,0.0088,,,,,Strontium oxalate,5*10-8,"Lime, slaked",1.35,
Tungsten,,3410,,,,,,,,,,Soil,1480,,,,,Lead Pb,35,,,,,Strontium sulfate,3.44*10-7,Limestone,2.7 - 2.8,
Uranium,,1132,,,,,,,,,,Soot,840,,,,,Leather,0.14,,,,,Thallium bromate,1.10*10-4,Linoleum,1.2,
Vanadium,,1890,,,,,,,,,,Snow,2090,,,,,Limestone,1.26 - 1.33,,,,,Thallium bromide,3.71*10-6,Lithium,0.53,
Xenon,,-111.9,,,,,,,,,,Steatite,830,,,,,Lithium,301,,,,,Thallium chloride,1.86*10-4,Magnesia,3.2 - 3.6,
Ytterbium,,824,,,,,,,,,,Steel,490,,,,,Magnesia insulation ,0.07,,,,,Thallium chromate,8.67*10-13,Magnesium,1.74,
Yttrium,,1523,,,,,,,,,,Sulfur,700,,,,,Magnesite,4.15,,,,,Thallium hydroxide,1.68*10-44,Magnetite,4.9 - 5.2,
Zinc,,419.58,,,,,,,,,,Tantalium,138,,,,,Magnesium,156,,,,,Thallium iodate,3.12*10-6,Malachite,3.7 - 4.1,
Zirconium,,1852,,,,,,,,,,Tellurium,201,,,,,Magnesium alloy,70 - 145,,,,,Thallium iodine,5.54*10-8,Manganese,7.43,
,,,,,,,,,,,,Thorium,140,,,,,Marble,2.08 - 2.94,,,,,Thallium thiocyanate,1.57*10-4,Marble,2.6 - 2.8,
,,,,,,,,,,,,Timber,1400,,,,,Mercury,8.3,,,,,Tin hydroxide,5.45*10-27,Meerschaum,1 - 1.3,
,,,,,,,,,,,,Timber,1600,,,,,Methane ,0.03,,,,,Vanadium hydroxide,4*10-16,Mica,2.6 - 3.2,
,,,,,,,,,,,,Timber,1900,,,,,Methanol,0.21,,,,,Vanadium hydroxide,4*10-35,Mineral wool quilt,0.05,
,,,,,,,,,,,,Timber,1400,,,,,Mica,0.71,,,,,Yttrium carbonate,1.03*10-31,Molybdenum,10.2,
,,,,,,,,,,,,Timber,1600,,,,,Milk,0.53,,,,,Yttrium fluoride,8.62*10-21,Muscovite,2.8 - 3,
,,,,,,,,,,,,Timber,2400,,,,,Mineral wool insulation materials,0.04,,,,,Yttrium hydroxide,1.00*10-22,Nickel,8.9,
,,,,,,,,,,,,Timber,1300,,,,,Molybdenum,138,,,,,Yttrium iodate,1.12*10-10,Nylon-6,1.12 - 1.17,
,,,,,,,,,,,,Timber,2500,,,,,Monel,26,,,,,Zinc arsenate,2.8*10-28,Nylon-66,1.13 - 1.15,
,,,,,,,,,,,,Timber,1300,,,,,Neon ,0.046,,,,,Zinc carbonate,1.46*10-10,Oak,0.72,
,,,,,,,,,,,,Timber,1500,,,,,Neoprene,0.05,,,,,Zinc carbonate monohydrate,5.42*10-11,Ochre,3.5,
,,,,,,,,,,,,Timber,1500,,,,,Nickel,91,,,,,Zinc fluoride,3.04*10-2,Opal,2.2,
,,,,,,,,,,,,Timber,1400,,,,,Nitric oxide ,0.0238,,,,,Zinc hydroxide,3*10-17,Osmium,22.48,
,,,,,,,,,,,,Tin,228,,,,,Nitrogen ,0.024,,,,,Zinc iodate dihydrate,4.1*10-6,Palladium,12,
,,,,,,,,,,,,Titanium,523,,,,,Nitrous oxide ,0.0151,,,,,Zinc oxalate dihydrate,1.38*10-9,Paper,0.7 - 1.15,
,,,,,,,,,,,,Tungsten,132,,,,,Nylon 6,0.25,,,,,Zinc selenide,3.6*10-26,Paraffin,0.9,
,,,,,,,,,,,,Tungsten carbide,171,,,,,Oil,0.15,,,,,Zinc selenite monohydrate,1.59*10-7,Peat blocks,0.85,
,,,,,,,,,,,,Uranium,116,,,,,Olive oil,0.17,,,,,,,Phenolic cast resin,1.24 - 1.32,
,,,,,,,,,,,,Vanadium,500,,,,,Oxygen ,0.024,,,,,,,Phosphorbronce,8.8,
,,,,,,,,,,,,Water,4182,,,,,Palladium,70.9,,,,,,,Phosphorus,1.82,
,,,,,,,,,,,,Water,3985,,,,,Paper,0.05,,,,,,,Pinchbeck,8.65,
,,,,,,,,,,,,Wet mud,2512,,,,,Paraffin Wax,0.25,,,,,,,Pitch,1.1,
,,,,,,,,,,,,Wood,1300 - 2400,,,,,Peat,0.08,,,,,,,Pit coal,1.35,
,,,,,,,,,,,,Zinc,388,,,,,Perlite,0.031,,,,,,,Platinum,21.5,
,,,,,,,,,,,,,,,,,,Perlite,0.00137,,,,,,,Polyacrylonitrile,1.16 - 1.18,
,,,,,,,,,,,,,,,,,,Phenolic cast resins,0.15,,,,,,,Polycarbonates,1.2,
,,,,,,,,,,,,,,,,,,Phenol-formaldehyde moulding compounds,0.13 - 0.25,,,,,,,"Polyethylene, PEH",0.91 - 0.97,
,,,,,,,,,,,,,,,,,,Phosphorbronze,110,,,,,,,Polypropylene,0.9,
,,,,,,,,,,,,,,,,,,Pinchbeck,159,,,,,,,Polystyrene,1.03,
,,,,,,,,,,,,,,,,,,Pitch,0.13,,,,,,,Polyurethane foam,0.03,
,,,,,,,,,,,,,,,,,,Pit coal,0.24,,,,,,,Porcelain,2.3 - 2.5,
,,,,,,,,,,,,,,,,,,Plaster light,0.2,,,,,,,Porphyry,2.6 - 2.9,
,,,,,,,,,,,,,,,,,,Plaster,0.47,,,,,,,Potassium,0.86,
,,,,,,,,,,,,,,,,,,Plaster,0.71,,,,,,,"Pressed wood, pulp board",0.19,
,,,,,,,,,,,,,,,,,,Plaster,0.28,,,,,,,Polytetrafluoroethylene (PTFE),2.17,
,,,,,,,,,,,,,,,,,,Plasticine,0.65 - 0.8,,,,,,,"Polyvinyl chloride, PVC",1.39,
,,,,,,,,,,,,,,,,,,Plastics,0.03,,,,,,,Pyrite,4.9 - 5.1,
,,,,,,,,,,,,,,,,,,Platinum,70,,,,,,,Quartz,2.65,
,,,,,,,,,,,,,,,,,,Plutonium,6.7,,,,,,,Radium,5,
,,,,,,,,,,,,,,,,,,Plywood,0.13,,,,,,,Red lead,8.6 - 9.1,
,,,,,,,,,,,,,,,,,,Polycarbonate,0.19,,,,,,,Red metal,8.8,
,,,,,,,,,,,,,,,,,,Polyester,0.05,,,,,,,Resin,1.07,
,,,,,,,,,,,,,,,,,,Polyethylene low density,0.33,,,,,,,Rhenium,21.4,
,,,,,,,,,,,,,,,,,,Polyethylene high density,0.42 - 0.51,,,,,,,Rhodium,12.3,
,,,,,,,,,,,,,,,,,,Polyisoprene natural rubber,0.13,,,,,,,Rock salt,2.2,
,,,,,,,,,,,,,,,,,,Polyisoprene hard rubber,0.16,,,,,,,Rock wool,0.22 - 0.39,
,,,,,,,,,,,,,,,,,,Polymethylmethacrylate,0.17 - 0.25,,,,,,,Rosin,1.07,
,,,,,,,,,,,,,,,,,,Polypropylene,0.1 - 0.22,,,,,,,"Rubber, hard",1.2,
,,,,,,,,,,,,,,,,,,Polystyrene,0.03,,,,,,,"Rubber, soft commercial",1.1,
,,,,,,,,,,,,,,,,,,Polystyrol,0.043,,,,,,,"Rubber, pure gum",0.91 - 0.93,
,,,,,,,,,,,,,,,,,,Polyurethane foam,0.03,,,,,,,Rubidium,1.52,
,,,,,,,,,,,,,,,,,,Porcelain,1.5,,,,,,,"Sand, dry",1.4 - 1.6,
,,,,,,,,,,,,,,,,,,Potassium,1,,,,,,,Sandstone,2.1 - 2.4,
,,,,,,,,,,,,,,,,,,Potato,0.55,,,,,,,Selenium,4.4,
,,,,,,,,,,,,,,,,,,Propane ,0.015,,,,,,,Serpentine,2.5 - 2.65,
,,,,,,,,,,,,,,,,,,Polytetrafluoroethylene ,0.25,,,,,,,"Silica, fused transparent",2.2,
,,,,,,,,,,,,,,,,,,Polyvinylchloride,0.19,,,,,,,"Silica, translucent",2.1,
,,,,,,,,,,,,,,,,,,Pyrex glass,1.005,,,,,,,Silicon,2.33,
,,,,,,,,,,,,,,,,,,Quartz mineral,3,,,,,,,Silver,10.5,
,,,,,,,,,,,,,,,,,,Radon ,0.0033,,,,,,,Slag,2 - 3.9,
,,,,,,,,,,,,,,,,,,Red metal,128,,,,,,,Slate,2.6 - 3.3,
,,,,,,,,,,,,,,,,,,Rhenium,71,,,,,,,Snow,0.1,
,,,,,,,,,,,,,,,,,,Rhodium,88,,,,,,,Soapstone,2.6 - 2.8,
,,,,,,,,,,,,,,,,,,Rock,2 - 7,,,,,,,Sodium,0.98,
,,,,,,,,,,,,,,,,,,Rock,0.5 - 2.5,,,,,,,Soot,1.6 - 1.7,
,,,,,,,,,,,,,,,,,,Rock Wool insulation,0.045,,,,,,,Spermaceti,0.95,
,,,,,,,,,,,,,,,,,,Rosin,0.32,,,,,,,Starch,1.5,
,,,,,,,,,,,,,,,,,,Rubber,0.045,,,,,,,Steatite,2.6 - 2.7,
,,,,,,,,,,,,,,,,,,Rubber,0.13,,,,,,,Steel,7.82,
,,,,,,,,,,,,,,,,,,Rubidium,58,,,,,,,Stone,2.3 - 2.8,
,,,,,,,,,,,,,,,,,,Salmon ,0.5,,,,,,,"Sulfur, cryst.",2,
,,,,,,,,,,,,,,,,,,Sand,0.15 - 0.25,,,,,,,Sugar,1.6,
,,,,,,,,,,,,,,,,,,Sand,0.25 - 2,,,,,,,Talc,2.7 - 2.8,
,,,,,,,,,,,,,,,,,,Sand,2 - 4,,,,,,,"Tallow, beef",0.95,
,,,,,,,,,,,,,,,,,,Sandstone,1.7,,,,,,,"Tallow, mutton",0.95,
,,,,,,,,,,,,,,,,,,Sawdust,0.08,,,,,,,Tantalum,16.6,
,,,,,,,,,,,,,,,,,,Selenium,0.2,,,,,,,Tar,1.05,
,,,,,,,,,,,,,,,,,,Sheep wool,0.039,,,,,,,Tellurium,6.25,
,,,,,,,,,,,,,,,,,,Silica aerogel,0.02,,,,,,,Thorium,11.7,
,,,,,,,,,,,,,,,,,,Silicon cast resin,0.15 - 0.32,,,,,,,Tin,7.28,
,,,,,,,,,,,,,,,,,,Silicon carbide,15.2,,,,,,,Titanium,4.5,
,,,,,,,,,,,,,,,,,,Silicon oil,0.1,,,,,,,Topaz,3.5 - 3.6,
,,,,,,,,,,,,,,,,,,Silver,429,,,,,,,Tourmaline,3 - 3.2,
,,,,,,,,,,,,,,,,,,Slag wool,0.042,,,,,,,Tungsten,19.2,
,,,,,,,,,,,,,,,,,,Slate,2.01,,,,,,,Uranium,19.1,
,,,,,,,,,,,,,,,,,,Snow ,0.05 - 0.25,,,,,,,Urea formaldehyde foam,0.08,
,,,,,,,,,,,,,,,,,,Sodium,135,,,,,,,Vanadium,6.1,
,,,,,,,,,,,,,,,,,,Softwoods ,0.12,,,,,,,"Wax, sealing",1.8,
,,,,,,,,,,,,,,,,,,Soil,1.1,,,,,,,White metal,7.5 - 10,
,,,,,,,,,,,,,,,,,,Soil,0.15 - 2,,,,,,,Wood wool slab,0.5 - 0.8,
,,,,,,,,,,,,,,,,,,Soil,0.6 - 4,,,,,,,Zinc,7.12,
,,,,,,,,,,,,,,,,,,Soot,0.07,,,,,,,Aluminum,2.739,
,,,,,,,,,,,,,,,,,,Steam,0.0184,,,,,,,Asphalt,0.721,
,,,,,,,,,,,,,,,,,,Steam,0.0188,,,,,,,Brick,1.920,
,,,,,,,,,,,,,,,,,,Steatite,2,,,,,,,Cast Iron,7.208,
,,,,,,,,,,,,,,,,,,Steel,43,,,,,,,Cement,1.506,
,,,,,,,,,,,,,,,,,,Stainless Steel,16,,,,,,,Concrete,2.370,
,,,,,,,,,,,,,,,,,,Straw slab insulation,0.09,,,,,,,"Concrete, Gravel",2.400,
,,,,,,,,,,,,,,,,,,Styrofoam,0.033,,,,,,,Stone,1.600,
,,,,,,,,,,,,,,,,,,Sulfur dioxide ,0.0086,,,,,,,Dirt,1.440,
,,,,,,,,,,,,,,,,,,Sulfur,0.2,,,,,,,Earth,1.520,
,,,,,,,,,,,,,,,,,,Sugars,0.087 - 0.22,,,,,,,Glass,2.580,
,,,,,,,,,,,,,,,,,,Tantalum,54,,,,,,,Gravel,1.520,
,,,,,,,,,,,,,,,,,,Tar,0.19,,,,,,,Gravel,1.920,
,,,,,,,,,,,,,,,,,,Tellurium,4.9,,,,,,,Gypsum,0.008,
,,,,,,,,,,,,,,,,,,Thorium,38,,,,,,,Gypsum,0.010,
,,,,,,,,,,,,,,,,,,Timber,0.17,,,,,,,Gypsum,0.013,
,,,,,,,,,,,,,,,,,,Timber,0.16,,,,,,,Ice,0.593,
,,,,,,,,,,,,,,,,,,Timber,0.14,,,,,,,Ice,0.919,
,,,,,,,,,,,,,,,,,,Timber,0.12,,,,,,,Limestone,2.739,
,,,,,,,,,,,,,,,,,,Timber,0.16,,,,,,,Marble,2.560,
,,,,,,,,,,,,,,,,,,Timber,0.17,,,,,,,FIberglass,0.032,
,,,,,,,,,,,,,,,,,,Timber,0.14,,,,,,,Mud,1.906,
,,,,,,,,,,,,,,,,,,Timber,0.19,,,,,,,Oyster Shells,0.849,
,,,,,,,,,,,,,,,,,,Timber,0.14,,,,,,,Polystyrene,0.029,
,,,,,,,,,,,,,,,,,,Timber,0.15,,,,,,,Polystyrene,0.024,
,,,,,,,,,,,,,,,,,,Timber,0.15,,,,,,,Polystyrene,0.024,
,,,,,,,,,,,,,,,,,,Timber,0.15,,,,,,,Porcelain,2.400,
,,,,,,,,,,,,,,,,,,Tin Sn,67,,,,,,,Sand,1.600,
,,,,,,,,,,,,,,,,,,Titanium,22,,,,,,,Snow,0.480,
,,,,,,,,,,,,,,,,,,Tungsten,174,,,,,,,Snow,0.160,
,,,,,,,,,,,,,,,,,,Uranium,27.6,,,,,,,Tar,1.150,
,,,,,,,,,,,,,,,,,,Urethane foam,0.021,,,,,,,Vermiculite,0.641,
,,,,,,,,,,,,,,,,,,Vacuum,0,,,,,,,Water,1.000,
,,,,,,,,,,,,,,,,,,Vermiculite granules,0.065,,,,,,,Wool,1.310,
,,,,,,,,,,,,,,,,,,Vinyl ester,0.25,,,,,,,,,
,,,,,,,,,,,,,,,,,,Water,0.606,,,,,,,,,
,,,,,,,,,,,,,,,,,,Water,,,,,,,,,,
,,,,,,,,,,,,,,,,,,Wax,0.084,,,,,,,,,
,,,,,,,,,,,,,,,,,,Wheat flour,0.45,,,,,,,,,
,,,,,,,,,,,,,,,,,,White metal,35 - 70,,,,,,,,,
,,,,,,,,,,,,,,,,,,Wood,0.17,,,,,,,,,
,,,,,,,,,,,,,,,,,,Wool,0.07,,,,,,,,,
,,,,,,,,,,,,,,,,,,Wood wool,0.1 - 0.15,,,,,,,,,
,,,,,,,,,,,,,,,,,,Xenon ,0.0051,,,,,,,,,
,,,,,,,,,,,,,,,,,,Zinc Zn,116,,,,,,,,,
